timestamp,open,high,low,close,volume
2021-07-29,201.0450,201.1400,194.9100,197.5400,23148272
2021-07-28,190.2300,198.0000,189.7600,196.0100,34535175
2021-07-27,183.5900,186.9000,179.6701,186.0700,59265660
2021-07-26,198.3700,198.5750,190.8800,191.7600,55736768
2021-07-23,206.2900,206.8900,203.5600,206.5300,25539861
2021-07-22,212.6400,216.3900,212.6000,214.0400,10563112
2021-07-21,209.1500,211.8500,208.4200,211.0800,7650329
2021-07-20,209.0000,211.5000,207.4668,210.5900,9986819
2021-07-19,206.1000,209.0800,203.2400,208.9100,15865819
2021-07-16,214.8500,215.2000,211.4600,212.1000,11150244
2021-07-15,215.1100,216.6000,213.1606,214.7600,14283583
2021-07-14,215.5000,216.3500,211.0300,211.5000,19484214
2021-07-13,209.2300,212.8100,208.1900,209.5100,17375881
2021-07-12,203.9000,206.4550,203.0200,205.4800,11259481
2021-07-09,202.0500,207.2680,201.5000,205.9400,16911266
2021-07-08,201.7100,202.2800,198.2600,199.8500,33992496
2021-07-07,211.6100,212.0500,207.8200,208.0000,18340424
2021-07-06,215.3200,215.4000,209.3733,211.6000,23719916
2021-07-02,219.1600,219.5000,216.4600,217.7500,12998035
2021-07-01,228.0700,228.8500,221.5500,221.8700,13327738
2021-06-30,226.9900,227.9800,225.6800,226.7800,9348629
2021-06-29,226.7000,229.6400,225.6020,229.4400,10273762
2021-06-28,229.5000,230.8900,226.7200,228.5900,13564910
2021-06-25,221.7100,230.2500,221.1000,228.5000,27383931
2021-06-24,216.9900,219.5800,215.5600,218.3800,13488244
2021-06-23,214.1900,216.3300,213.1300,214.8600,13785780
2021-06-22,210.4200,211.6600,209.8600,211.3200,11092087
2021-06-21,210.5500,211.7800,208.9900,211.0600,9273843
2021-06-18,212.0100,213.8400,210.5900,212.3000,13724626
2021-06-17,209.9000,212.4900,209.7700,211.6000,11233729
2021-06-16,209.7500,211.6200,208.2256,209.3200,10849111
2021-06-15,214.1700,214.4900,209.6400,210.0600,12166955
2021-06-14,212.2500,215.1650,212.2435,213.9400,10773077
2021-06-11,213.4500,213.4600,211.0000,211.6400,12276590
2021-06-10,213.5000,214.8000,212.2100,213.0700,10735896
2021-06-09,215.2100,216.5700,213.3100,213.3200,10233553
2021-06-08,217.2900,218.2300,214.7400,215.8200,9443049
2021-06-07,218.0000,218.4000,215.6900,216.9000,9928599
2021-06-04,218.2800,219.0800,217.1400,219.0200,8999092
2021-06-03,218.0000,218.7000,216.3050,217.0400,12448117
2021-06-02,219.4300,219.9400,217.4600,219.5900,13126417
2021-06-01,223.0200,223.1300,218.2400,219.4800,23052849
2021-05-28,212.7600,214.5300,212.0600,213.9600,10401474
2021-05-27,214.1700,215.4600,212.5300,212.7400,18680197
2021-05-26,212.3000,213.7500,211.5400,211.7800,9405776
2021-05-25,212.8300,214.0500,211.0100,211.1300,14116055
2021-05-24,210.0300,212.0100,208.7000,210.4400,15884245
2021-05-21,215.2300,215.8900,209.8700,211.0600,22825522
2021-05-20,212.9950,217.6300,212.6300,216.9900,19123430
2021-05-19,211.1000,212.9100,210.1200,212.5400,17030421
2021-05-18,212.5000,215.1700,211.4200,213.7200,19519449
2021-05-17,210.6150,213.1500,209.4400,211.0500,20529814
2021-05-14,209.9235,210.9400,206.0200,209.5100,31626841
2021-05-13,213.1500,215.5000,204.3900,206.0800,51693884
2021-05-12,224.7400,225.2900,219.0000,219.9000,20366883
2021-05-11,213.7100,221.3900,213.0000,221.3800,13887678
2021-05-10,222.8700,222.8700,218.5600,219.5300,17266711
2021-05-07,227.9000,228.7900,225.0500,225.3100,10550046
2021-05-06,227.1100,228.4400,222.8800,226.4200,12247666
2021-05-05,228.0000,228.9100,226.7300,226.7800,7243206
