timestamp,open,high,low,close,volume
2021-07-29,286.2350,288.6180,286.0800,286.5000,17782235
2021-07-28,288.9900,290.1500,283.8303,286.2200,33566853
2021-07-27,289.4300,289.5750,282.9500,286.5400,33604073
2021-07-26,289.0000,289.6900,286.6420,289.0500,23176073
2021-07-23,287.3700,289.9900,286.5000,289.6700,22768071
2021-07-22,283.8400,286.4200,283.4200,286.1400,23384059
2021-07-21,278.9050,281.5200,277.2900,281.4000,24364320
2021-07-20,278.0300,280.9700,276.2600,279.3200,26259741
2021-07-19,278.9335,280.3700,274.4500,277.0100,32935634
2021-07-16,282.0700,284.1000,279.4600,280.7500,26186848
2021-07-15,282.0000,282.5100,279.8300,281.0300,22604227
2021-07-14,282.3450,283.6600,280.5500,282.5100,23113662
2021-07-13,277.5200,282.8477,277.3900,280.9800,26120128
2021-07-12,279.1570,279.7700,276.5800,277.3200,18931695
2021-07-09,275.7200,278.0500,275.3200,277.9400,23916665
2021-07-08,276.9000,278.7300,274.8700,277.4200,24618591
2021-07-07,279.4000,280.6945,277.1500,279.9300,23260031
2021-07-06,278.0300,279.3698,274.3000,277.6600,31565560
2021-07-02,272.8200,278.0000,272.5000,277.6500,26474408
2021-07-01,269.6100,271.8400,269.6000,271.6000,16725323
2021-06-30,270.6900,271.3598,269.6043,270.9000,21656457
2021-06-29,268.8650,271.6500,267.9800,271.4000,19937811
2021-06-28,266.1850,268.9000,265.9100,268.7200,19590024
2021-06-25,266.2300,267.2500,264.7600,265.0200,25611113
2021-06-24,266.1600,267.8500,265.4700,266.6900,21446867
2021-06-23,265.9900,266.8300,264.4300,265.2750,19518681
2021-06-22,262.7200,265.7900,262.4000,265.5100,24694090
2021-06-21,259.8200,263.5200,257.9200,262.6300,26696119
2021-06-18,259.6300,262.3000,258.7500,259.4300,37202217
2021-06-17,256.0650,261.7500,256.0100,260.9000,27565537
2021-06-16,259.4000,260.5800,254.4200,257.3800,27036535
2021-06-15,259.7750,259.9900,257.6800,258.3600,18038931
2021-06-14,257.9000,259.9500,256.8000,259.8900,19150507
2021-06-11,257.9850,258.4868,256.6100,257.8900,18999731
2021-06-10,254.2900,257.4600,253.6700,257.2400,24563619
2021-06-09,253.8100,255.5300,253.2100,253.5900,17937634
2021-06-08,255.1600,256.0100,252.5100,252.5700,22454998
2021-06-07,249.9800,254.0900,249.8100,253.8100,23079167
2021-06-04,247.7600,251.6500,247.5100,250.7900,25281094
2021-06-03,245.2200,246.3400,243.0000,245.7100,25307711
2021-06-02,248.1250,249.2700,245.8400,247.3000,19406705
2021-06-01,251.2300,251.2900,246.9600,247.4000,23213310
2021-05-28,250.9950,252.0800,249.5600,249.6800,18274942
2021-05-27,251.1700,251.4800,249.2500,249.3100,24426244
2021-05-26,251.4300,252.9400,250.7500,251.4900,17771600
2021-05-25,251.7690,252.7500,250.8200,251.7200,17704303
2021-05-24,247.7850,251.1600,247.5100,250.7800,21411547
2021-05-21,247.5650,248.3300,244.7400,245.1700,21863058
2021-05-20,243.9600,247.9500,243.8600,246.4800,21800716
2021-05-19,239.3100,243.2300,238.6000,243.1200,25739807
2021-05-18,246.2700,246.4100,242.9000,243.0800,20167975
2021-05-17,246.5500,246.5900,243.5200,245.1800,24970168
2021-05-14,245.5750,249.1800,245.4900,248.1500,23901081
2021-05-13,241.8000,245.6000,241.4200,243.0300,29624298
2021-05-12,242.1650,244.3800,238.0700,239.0000,36684370
2021-05-11,244.5500,246.6000,242.5700,246.2300,33641589
2021-05-10,250.8700,251.7300,247.1200,247.1800,29299890
